地址,平均價格,平均坪數,物件數量
淡水區-大同路,20787.40740740741,23.725925925925928,27
淡水區-竿蓁二街19巷,20700.0,18.0,2
淡水區-沙崙路一段,20683.333333333332,25.5,18
淡水區-淡金路一段,20633.333333333332,13.449999999999998,6
淡水區-義山路一段401巷,20600.0,19.939999999999998,5
淡水區-中山路,20599.666666666668,20.666666666666668,3
淡水區-新市一路一段99巷,20575.0,18.65,4
淡水區-沙崙路201巷55號,20500.0,12.1,1
淡水區-水源街一段71巷,20500.0,20.4,2
淡水區-新市二路一段,20428.571428571428,23.328571428571426,7
淡水區-鄧公路30巷1弄16號,20000.0,8.0,1
淡水區-大忠街24巷7號,20000.0,32.4,1
淡水區-新生街55巷,20000.0,24.65,2
淡水區-新市一路三段101巷17弄,20000.0,15.5,1
淡水區-民族路31巷32號,20000.0,8.55,2
淡水區-中山北路一段180巷,20000.0,27.3,1
淡水區-中山路93號,20000.0,14.9,1
淡水區-八勢路50巷51號,19960.0,20.0,1
淡水區-淡金路二段,19785.714285714286,19.5,7
淡水區-自強路201巷,19750.0,17.0,2
淡水區-北新路69巷,19500.0,21.05,2
淡水區-沙崙路151巷26弄,19500.0,23.55,2
淡水區-學府路205巷6號,19433.333333333332,35.46666666666667,3
淡水區-新民街174號,19400.0,16.35,2
淡水區-濱海路二段,19376.296296296296,20.85185185185185,27
淡水區-中正東路二段25巷,19333.333333333332,24.833333333333332,3
淡水區-新市一路一段,19260.714285714286,23.62142857142857,28
淡水區-淡金路,19199.0,23.663414634146342,41
淡水區-中正路一段156巷,19000.0,13.8,1
淡水區-學府路136巷,18892.85714285714,19.207142857142856,14
淡水區-中山北路三段,18825.0,23.875,4
淡水區-中正東路二段143巷12弄,18550.0,20.583333333333332,6
淡水區-水源街一段36號,18500.0,16.4,1
淡水區-學府路136巷55號,18500.0,28.0,1
淡水區-北新路141巷,18500.0,16.4,1
淡水區-興福寮66巷,18499.714285714286,15.071428571428571,7
淡水區-中正東路二段,18437.5,20.35,8
淡水區-興福寮88巷,18375.0,25.125,4
淡水區-學府路205巷1弄,18257.14285714286,28.82857142857143,7
淡水區-新民街222巷16弄,18142.85714285714,20.228571428571428,7
淡水區-水源街二段177巷,18016.666666666668,20.316666666666666,6
淡水區-沙崙路216巷,18000.0,32.1,1
淡水區-北新路二段,18000.0,12.3,1
淡水區-新市一路,17900.0,17.25,2
淡水區-新民街53巷,17833.333333333332,22.86666666666667,6
淡水區-民生路9巷1弄,17500.0,15.9,2
淡水區-義山路一段,17500.0,21.799999999999997,4
淡水區-淡金路38巷,17428.571428571428,18.857142857142858,7
淡水區-濱海路三段148巷,17400.0,16.84,5
淡水區-新興街,17140.0,14.975,4
淡水區-淡金路一段569號,17000.0,30.5,1
淡水區-北新路141巷6號,17000.0,24.5,1
淡水區-北新路169巷,17000.0,22.0,1
淡水區-新市二路一段76號,17000.0,16.0,1
淡水區-大忠街,17000.0,19.85,2
淡水區-水碓25巷,17000.0,12.4,1
淡水區-新春街,16899.833333333332,16.316666666666666,6
淡水區-義山路一段399號,16800.0,16.0,1
淡水區-淡金路38巷106號,16800.0,7.2,1
淡水區-鄧公路30巷1弄,16666.666666666668,21.666666666666668,3
淡水區-中山北路二段381巷,16450.0,17.775,4
淡水區-水源街一段122巷,16375.0,23.575,4
淡水區-新春街180號,16000.0,11.1,1
淡水區-大智街46巷,16000.0,20.7,2
淡水區-新民街180巷7弄27號,16000.0,26.2,1
淡水區-英專路130號,16000.0,35.9,1
淡水區-大忠街133號,16000.0,23.3,1
淡水區-民族路65巷,16000.0,30.8,1
淡水區-民族路31巷,15812.5,14.3125,8
淡水區-大忠街79號,15800.0,17.6,1
淡水區-新民街152巷6弄,15550.0,17.55,4
淡水區-新民街180巷21號,15500.0,11.35,2
淡水區-八勢一街63巷,15300.0,18.0,1
淡水區-民權路19號,15075.0,14.75,2
淡水區-學府路128巷,15050.0,17.2,4
淡水區-淡金路三段30號,15000.0,23.0,1
淡水區-原德路109巷,15000.0,16.75,2
淡水區-濱海路一段306巷60弄68號,15000.0,27.0,1
淡水區-民權一街17巷,15000.0,12.0,1
淡水區-坪頂路52巷,15000.0,9.200000000000001,3
淡水區-淡金路16巷,15000.0,20.9,1
淡水區-新市一路三段101巷16弄,14500.0,8.5,1
淡水區-北新路182巷21弄,14500.0,14.1,1
淡水區-英專路,14433.333333333334,13.033333333333333,6
