建物類型_新,平均價格,平均坪數,物件數量
其他,21486.22976744186,24.090604651162792,1075
電梯大樓,19221.518987341773,21.50379746835443,79
公寓,18550.0,21.15,32
透天厝,15674.333333333334,18.7,60
